Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
abelper8/id_ist_tit_book		4	en	v0.22	0	en	v0.22	6	en	v57	v0.22	2022-03-16T00:30:55.723Z	3.1.0	7			
abelper8/pid_reg_tit_book		0			0			0				2021-05-07T22:48:47.843Z		7			
antoniusn/id_jhn_text_reg		0			0			0									
antoniusn/id_mat_text_reg		0			0			0									
EvaWulandari/id_mrk_text_reg		0			0			0									
GeoSun/id_ulb_jhn_book		0			0			0									
jcr/id_1co_text_reg		0			0			0									
jcr/id_phm_text_reg		0			0			0									
jcr/id_tit_text_reg		0			0			0									
jo_crosby/id_john_phm_book		8	en	v0.22	100	en	v0.22	61	en	v57	v0.22	2022-02-07T11:04:13.006Z	3.1.0	7			
kjhaugh/id_gen_text_reg		0			0			0									
MartinT/id_mat_text_reg		0			0			0									
ricardouneputty/id_mat_text_reg		0			0			0									
richmahn/id_ulb_2pe_book		0	en	v0.17	0			0				2021-02-07T20:30:58.873Z	3.0.1	7			
Rohadi76/id_john_phm_book		12	en	v0.22	100	en	v0.22	61	en	v57	v0.22	2022-02-07T11:04:13.006Z	3.1.0	7			
royalsix/id_-co_text_reg		0			0			0				10/27/2016 1:07 PM					
russp41/id_ulb_tit_book		6			1			0				2018-07-30T17:14:29.292Z		7			
russp41/id_ulbx_tit_book		6			1			0				2018-07-30T17:14:29.292Z		7			
